state_name,parlimentary_constituency_name,assembly_constituency_name,nota_votes,candidate_name,party_name,votes_secured
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,GODDETI. MADHAVI,YSRCP,68836.0
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,SHRUTI DEVI VYRICHERLA,INC,1362.0
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,GANGULAIAH VAMPURU.,JnP,4995.0
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,SWAMULA. SUBRAHMANYAM,JAJGP,189.0
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,ANUMULA VAMSIKRISHNA,IND,530.0
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,KANGALA BALUDORA,IND,390.0
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,NARAVA SATYAVATHI,IND,664.0
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,BIDDIKA RAMAYYA.,IND,386.0
Andhra Pradesh,Aruku ,Salur (ST),4995,KISHORE CHANDRA DEO,TDP,59128.0
Andhra Pradesh,Aruku ,Salur (ST),4995,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,1684.0
Andhra Pradesh,Aruku ,Salur (ST),4995,GODDETI. MADHAVI,YSRCP,76281.0
Andhra Pradesh,Aruku ,Salur (ST),4995,SHRUTI DEVI VYRICHERLA,INC,1730.0
Andhra Pradesh,Aruku ,Salur (ST),4995,GANGULAIAH VAMPURU.,JnP,3349.0
Andhra Pradesh,Aruku ,Salur (ST),4995,SWAMULA. SUBRAHMANYAM,JAJGP,261.0
Andhra Pradesh,Aruku ,Salur (ST),4995,ANUMULA VAMSIKRISHNA,IND,755.0
Andhra Pradesh,Aruku ,Salur (ST),4995,KANGALA BALUDORA,IND,483.0
Andhra Pradesh,Aruku ,Salur (ST),4995,NARAVA SATYAVATHI,IND,1154.0
Andhra Pradesh,Aruku ,Salur (ST),4995,BIDDIKA RAMAYYA.,IND,707.0
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,KISHORE CHANDRA DEO,TDP,23849.0
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,3354.0
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,GODDETI. MADHAVI,YSRCP,83652.0
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,SHRUTI DEVI VYRICHERLA,INC,3599.0
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,GANGULAIAH VAMPURU.,JnP,8761.0
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,SWAMULA. SUBRAHMANYAM,JAJGP,2034.0
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,ANUMULA VAMSIKRISHNA,IND,3902.0
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,KANGALA BALUDORA,IND,6430.0
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,NARAVA SATYAVATHI,IND,3157.0
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,BIDDIKA RAMAYYA.,IND,2653.0
Andhra Pradesh,Aruku ,Paderu (ST),9939,KISHORE CHANDRA DEO,TDP,27101.0
Andhra Pradesh,Aruku ,Paderu (ST),9939,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,3629.0
Andhra Pradesh,Aruku ,Paderu (ST),9939,GODDETI. MADHAVI,YSRCP,82473.0
Andhra Pradesh,Aruku ,Paderu (ST),9939,SHRUTI DEVI VYRICHERLA,INC,4151.0
Andhra Pradesh,Aruku ,Paderu (ST),9939,GANGULAIAH VAMPURU.,JnP,4637.0
Andhra Pradesh,Aruku ,Paderu (ST),9939,SWAMULA. SUBRAHMANYAM,JAJGP,807.0
Andhra Pradesh,Aruku ,Paderu (ST),9939,ANUMULA VAMSIKRISHNA,IND,1964.0
Andhra Pradesh,Aruku ,Paderu (ST),9939,KANGALA BALUDORA,IND,1748.0
Andhra Pradesh,Aruku ,Paderu (ST),9939,NARAVA SATYAVATHI,IND,2163.0
Andhra Pradesh,Aruku ,Paderu (ST),9939,BIDDIKA RAMAYYA.,IND,1528.0
Andhra Pradesh,Aruku ,Rampachodavaram (ST),6983,KISHORE CHANDRA DEO,TDP,63471.0
Andhra Pradesh,Aruku ,Rampachodavaram (ST),6983,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,2411.0
Andhra Pradesh,Aruku ,Rampachodavaram (ST),6983,GODDETI. MADHAVI,YSRCP,105037.0
Andhra Pradesh,Aruku ,Rampachodavaram (ST),6983,SHRUTI DEVI VYRICHERLA,INC,3533.0
Andhra Pradesh,Aruku ,Rampachodavaram (ST),6983,GANGULAIAH VAMPURU.,JnP,12125.0
Andhra Pradesh,Aruku ,Rampachodavaram (ST),6983,SWAMULA. SUBRAHMANYAM,JAJGP,742.0
Andhra Pradesh,Aruku ,Rampachodavaram (ST),6983,ANUMULA VAMSIKRISHNA,IND,1410.0
Andhra Pradesh,Aruku ,Rampachodavaram (ST),6983,KANGALA BALUDORA,IND,3455.0
Andhra Pradesh,Aruku ,Rampachodavaram (ST),6983,NARAVA SATYAVATHI,IND,2223.0
Andhra Pradesh,Aruku ,Rampachodavaram (ST),6983,BIDDIKA RAMAYYA.,IND,1160.0
Andhra Pradesh,Srikakulam,Ichchapuram,4019,KINJARAPU RAM MOHAN NAIDU,TDP,83375.0
Andhra Pradesh,Srikakulam,Ichchapuram,4019,DOLA JAGAN,INC,2370.0
Andhra Pradesh,Srikakulam,Ichchapuram,4019,DUVVADA SRINIVAS,YSRCP,69572.0
Andhra Pradesh,Srikakulam,Ichchapuram,4019,PERLA SAMBA MURTHY,BJP,1609.0
Andhra Pradesh,Srikakulam,Ichchapuram,4019,MATTA SATISH CHAKRAVARTHY,PPOI,316.0
Andhra Pradesh,Srikakulam,Ichchapuram,4019,METTA RAMARAO,JnP,9347.0
Andhra Pradesh,Srikakulam,Ichchapuram,4019,NAMBALLA KRISHNA MOHAN,IND,910.0
Andhra Pradesh,Srikakulam,Ichchapuram,4019,NAIDUGARI RAJASEKHAR,IND,858.0
Andhra Pradesh,Srikakulam,Ichchapuram,4019,BETHA VIVEKANANDA MAHARAJ,IND,661.0
Andhra Pradesh,Srikakulam,Palasa,3543,KINJARAPU RAM MOHAN NAIDU,TDP,70050.0
Andhra Pradesh,Srikakulam,Palasa,3543,DOLA JAGAN,INC,1650.0
Andhra Pradesh,Srikakulam,Palasa,3543,DUVVADA SRINIVAS,YSRCP,66319.0
Andhra Pradesh,Srikakulam,Palasa,3543,PERLA SAMBA MURTHY,BJP,975.0
Andhra Pradesh,Srikakulam,Palasa,3543,MATTA SATISH CHAKRAVARTHY,PPOI,157.0
Andhra Pradesh,Srikakulam,Palasa,3543,METTA RAMARAO,JnP,5338.0
Andhra Pradesh,Srikakulam,Palasa,3543,NAMBALLA KRISHNA MOHAN,IND,575.0
Andhra Pradesh,Srikakulam,Palasa,3543,NAIDUGARI RAJASEKHAR,IND,662.0
Andhra Pradesh,Srikakulam,Palasa,3543,BETHA VIVEKANANDA MAHARAJ,IND,448.0
Andhra Pradesh,Srikakulam,Tekkali,3252,KINJARAPU RAM MOHAN NAIDU,TDP,86897.0
Andhra Pradesh,Srikakulam,Tekkali,3252,DOLA JAGAN,INC,1308.0
Andhra Pradesh,Srikakulam,Tekkali,3252,DUVVADA SRINIVAS,YSRCP,78289.0
Andhra Pradesh,Srikakulam,Tekkali,3252,PERLA SAMBA MURTHY,BJP,754.0
Andhra Pradesh,Srikakulam,Tekkali,3252,MATTA SATISH CHAKRAVARTHY,PPOI,180.0
Andhra Pradesh,Srikakulam,Tekkali,3252,METTA RAMARAO,JnP,2163.0
Andhra Pradesh,Srikakulam,Tekkali,3252,NAMBALLA KRISHNA MOHAN,IND,634.0
Andhra Pradesh,Srikakulam,Tekkali,3252,NAIDUGARI RAJASEKHAR,IND,931.0
Andhra Pradesh,Srikakulam,Tekkali,3252,BETHA VIVEKANANDA MAHARAJ,IND,513.0
Andhra Pradesh,Srikakulam,Pathapatnam,4509,KINJARAPU RAM MOHAN NAIDU,TDP,65828.0
Andhra Pradesh,Srikakulam,Pathapatnam,4509,DOLA JAGAN,INC,1616.0
Andhra Pradesh,Srikakulam,Pathapatnam,4509,DUVVADA SRINIVAS,YSRCP,72134.0
Andhra Pradesh,Srikakulam,Pathapatnam,4509,PERLA SAMBA MURTHY,BJP,1159.0
Andhra Pradesh,Srikakulam,Pathapatnam,4509,MATTA SATISH CHAKRAVARTHY,PPOI,242.0
Andhra Pradesh,Srikakulam,Pathapatnam,4509,METTA RAMARAO,JnP,4047.0
Andhra Pradesh,Srikakulam,Pathapatnam,4509,NAMBALLA KRISHNA MOHAN,IND,776.0
Andhra Pradesh,Srikakulam,Pathapatnam,4509,NAIDUGARI RAJASEKHAR,IND,791.0
Andhra Pradesh,Srikakulam,Pathapatnam,4509,BETHA VIVEKANANDA MAHARAJ,IND,741.0
Andhra Pradesh,Srikakulam,Srikakulam,3503,KINJARAPU RAM MOHAN NAIDU,TDP,86800.0
Andhra Pradesh,Srikakulam,Srikakulam,3503,DOLA JAGAN,INC,2007.0
Andhra Pradesh,Srikakulam,Srikakulam,3503,DUVVADA SRINIVAS,YSRCP,77144.0
Andhra Pradesh,Srikakulam,Srikakulam,3503,PERLA SAMBA MURTHY,BJP,1387.0
Andhra Pradesh,Srikakulam,Srikakulam,3503,MATTA SATISH CHAKRAVARTHY,PPOI,224.0
Andhra Pradesh,Srikakulam,Srikakulam,3503,METTA RAMARAO,JnP,5737.0
Andhra Pradesh,Srikakulam,Srikakulam,3503,NAMBALLA KRISHNA MOHAN,IND,675.0
Andhra Pradesh,Srikakulam,Srikakulam,3503,NAIDUGARI RAJASEKHAR,IND,614.0
Andhra Pradesh,Srikakulam,Srikakulam,3503,BETHA VIVEKANANDA MAHARAJ,IND,516.0
Andhra Pradesh,Srikakulam,Amadalavalasa,2771,KINJARAPU RAM MOHAN NAIDU,TDP,63490.0
Andhra Pradesh,Srikakulam,Amadalavalasa,2771,DOLA JAGAN,INC,1256.0
Andhra Pradesh,Srikakulam,Amadalavalasa,2771,DUVVADA SRINIVAS,YSRCP,75759.0
Andhra Pradesh,Srikakulam,Amadalavalasa,2771,PERLA SAMBA MURTHY,BJP,692.0
Andhra Pradesh,Srikakulam,Amadalavalasa,2771,MATTA SATISH CHAKRAVARTHY,PPOI,142.0
Andhra Pradesh,Srikakulam,Amadalavalasa,2771,METTA RAMARAO,JnP,2611.0
Andhra Pradesh,Srikakulam,Amadalavalasa,2771,NAMBALLA KRISHNA MOHAN,IND,517.0
Andhra Pradesh,Srikakulam,Amadalavalasa,2771,NAIDUGARI RAJASEKHAR,IND,538.0
Andhra Pradesh,Srikakulam,Amadalavalasa,2771,BETHA VIVEKANANDA MAHARAJ,IND,343.0
Andhra Pradesh,Srikakulam,Narasannapeta,3903,KINJARAPU RAM MOHAN NAIDU,TDP,72773.0
Andhra Pradesh,Srikakulam,Narasannapeta,3903,DOLA JAGAN,INC,3249.0
Andhra Pradesh,Srikakulam,Narasannapeta,3903,DUVVADA SRINIVAS,YSRCP,81714.0
Andhra Pradesh,Srikakulam,Narasannapeta,3903,PERLA SAMBA MURTHY,BJP,781.0
Andhra Pradesh,Srikakulam,Narasannapeta,3903,MATTA SATISH CHAKRAVARTHY,PPOI,180.0
Andhra Pradesh,Srikakulam,Narasannapeta,3903,METTA RAMARAO,JnP,2076.0
Andhra Pradesh,Srikakulam,Narasannapeta,3903,NAMBALLA KRISHNA MOHAN,IND,742.0
Andhra Pradesh,Srikakulam,Narasannapeta,3903,NAIDUGARI RAJASEKHAR,IND,757.0
Andhra Pradesh,Srikakulam,Narasannapeta,3903,BETHA VIVEKANANDA MAHARAJ,IND,592.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Ashok Gajapathi Raju Pusapati,TDP,81865.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Adiraju Yedla,INC,2136.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Bellana Chandra Sekhar,YSRCP,96447.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Sanyasi Raju Pakalapati,BJP,830.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,P.V.A. Ananda Sagar,SAPRP,771.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Chiranjeevi Lingala,ACP,269.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Mukka Srinivas Rao,JnP,4534.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Lagudu. Govinda Rao,JAJGP,112.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Surya Bhavani. K,PPOI,130.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Yella Rao Siyyadula,IND,158.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Dhanalakoti Ramana,IND,214.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Pentapati Rajesh,IND,312.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Ijjurouthu Ramunaidu,IND,1351.0
Andhra Pradesh,Vizianagaram,Etcherla,4909,Venkata Trindha Rao Veluri,IND,1123.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Ashok Gajapathi Raju Pusapati,TDP,70709.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Adiraju Yedla,INC,1901.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Bellana Chandra Sekhar,YSRCP,77231.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Sanyasi Raju Pakalapati,BJP,798.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,P.V.A. Ananda Sagar,SAPRP,653.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Chiranjeevi Lingala,ACP,170.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Mukka Srinivas Rao,JnP,4491.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Lagudu. Govinda Rao,JAJGP,109.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Surya Bhavani. K,PPOI,121.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Yella Rao Siyyadula,IND,169.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Dhanalakoti Ramana,IND,161.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Pentapati Rajesh,IND,192.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Ijjurouthu Ramunaidu,IND,444.0
Andhra Pradesh,Vizianagaram,Rajam (SC),4353,Venkata Trindha Rao Veluri,IND,981.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Ashok Gajapathi Raju Pusapati,TDP,77990.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Adiraju Yedla,INC,1997.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Bellana Chandra Sekhar,YSRCP,82816.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Sanyasi Raju Pakalapati,BJP,1081.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,P.V.A. Ananda Sagar,SAPRP,1172.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Chiranjeevi Lingala,ACP,225.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Mukka Srinivas Rao,JnP,4249.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Lagudu. Govinda Rao,JAJGP,126.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Surya Bhavani. K,PPOI,138.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Yella Rao Siyyadula,IND,177.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Dhanalakoti Ramana,IND,201.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Pentapati Rajesh,IND,210.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Ijjurouthu Ramunaidu,IND,404.0
Andhra Pradesh,Vizianagaram,Bobbili,3319,Venkata Trindha Rao Veluri,IND,806.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Ashok Gajapathi Raju Pusapati,TDP,64250.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Adiraju Yedla,INC,2438.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Bellana Chandra Sekhar,YSRCP,87430.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Sanyasi Raju Pakalapati,BJP,849.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,P.V.A. Ananda Sagar,SAPRP,713.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Chiranjeevi Lingala,ACP,179.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Mukka Srinivas Rao,JnP,3442.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Lagudu. Govinda Rao,JAJGP,124.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Surya Bhavani. K,PPOI,100.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Yella Rao Siyyadula,IND,136.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Dhanalakoti Ramana,IND,151.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Pentapati Rajesh,IND,213.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Ijjurouthu Ramunaidu,IND,924.0
Andhra Pradesh,Vizianagaram,Cheepurupalle,3259,Venkata Trindha Rao Veluri,IND,909.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Ashok Gajapathi Raju Pusapati,TDP,71872.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Adiraju Yedla,INC,2710.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Bellana Chandra Sekhar,YSRCP,82956.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Sanyasi Raju Pakalapati,BJP,801.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,P.V.A. Ananda Sagar,SAPRP,645.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Chiranjeevi Lingala,ACP,151.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Mukka Srinivas Rao,JnP,3627.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Lagudu. Govinda Rao,JAJGP,111.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Surya Bhavani. K,PPOI,148.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Yella Rao Siyyadula,IND,150.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Dhanalakoti Ramana,IND,214.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Pentapati Rajesh,IND,178.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Ijjurouthu Ramunaidu,IND,501.0
Andhra Pradesh,Vizianagaram,Gajapathinagaram,5776,Venkata Trindha Rao Veluri,IND,1100.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Ashok Gajapathi Raju Pusapati,TDP,72449.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Adiraju Yedla,INC,2707.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Bellana Chandra Sekhar,YSRCP,85233.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Sanyasi Raju Pakalapati,BJP,657.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,P.V.A. Ananda Sagar,SAPRP,624.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Chiranjeevi Lingala,ACP,169.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Mukka Srinivas Rao,JnP,6426.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Lagudu. Govinda Rao,JAJGP,118.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Surya Bhavani. K,PPOI,97.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Yella Rao Siyyadula,IND,140.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Dhanalakoti Ramana,IND,159.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Pentapati Rajesh,IND,201.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Ijjurouthu Ramunaidu,IND,529.0
Andhra Pradesh,Vizianagaram,Nellimarla,5858,Venkata Trindha Rao Veluri,IND,1020.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Ashok Gajapathi Raju Pusapati,TDP,88172.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Adiraju Yedla,INC,1718.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Bellana Chandra Sekhar,YSRCP,61353.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Sanyasi Raju Pakalapati,BJP,1886.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,P.V.A. Ananda Sagar,SAPRP,403.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Chiranjeevi Lingala,ACP,98.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Mukka Srinivas Rao,JnP,7010.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Lagudu. Govinda Rao,JAJGP,87.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Surya Bhavani. K,PPOI,88.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Yella Rao Siyyadula,IND,80.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Dhanalakoti Ramana,IND,72.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Pentapati Rajesh,IND,155.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Ijjurouthu Ramunaidu,IND,397.0
Andhra Pradesh,Vizianagaram,Vizianagaram,1994,Venkata Trindha Rao Veluri,IND,397.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,DAGGUBATI PURANDESWARI,BJP,2539.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,PEDADA. RAMANIKUMARI,INC,1513.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,BHARAT MATHUKUMILLI,TDP,73414.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,M V V SATYANARAYANA,YSRCP,81394.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,GEORGE BANGARI,VCK,492.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,B. JAYA VENU GOPAL,PPOI,171.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,V.V. LAKSHMI NARAYANA,JnP,16632.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,ANMISH VARMA,IND,153.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,R. UDAYA GOWRI,IND,171.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,KOTHAPALLI GEETHA,IND,176.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,GAMPALA SOMASUNDARAM,IND,150.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,GANNU MALLAYYA,IND,253.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,DURGAPRASAD. GUNTU,IND,403.0
Andhra Pradesh,Visakhapatnam,Srungavarapukota,4561,PULAPAKA RAJA SEKHAR,IND,443.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,DAGGUBATI PURANDESWARI,BJP,3361.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,PEDADA. RAMANIKUMARI,INC,1980.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,BHARAT MATHUKUMILLI,TDP,87380.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,M V V SATYANARAYANA,YSRCP,88014.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,GEORGE BANGARI,VCK,814.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,B. JAYA VENU GOPAL,PPOI,364.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,V.V. LAKSHMI NARAYANA,JnP,38960.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,ANMISH VARMA,IND,444.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,R. UDAYA GOWRI,IND,405.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,KOTHAPALLI GEETHA,IND,321.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,GAMPALA SOMASUNDARAM,IND,352.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,GANNU MALLAYYA,IND,360.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,DURGAPRASAD. GUNTU,IND,631.0
Andhra Pradesh,Visakhapatnam,Bhimili,4177,PULAPAKA RAJA SEKHAR,IND,643.0
Andhra Pradesh,Visakhapatnam,Visakhapatnam East,1810,DAGGUBATI PURANDESWARI,BJP,5572.0
Andhra Pradesh,Visakhapatnam,Visakhapatnam East,1810,PEDADA. RAMANIKUMARI,INC,2259.0
Andhra Pradesh,Visakhapatnam,Visakhapatnam East,1810,BHARAT MATHUKUMILLI,TDP,60990.0
Andhra Pradesh,Visakhapatnam,Visakhapatnam East,1810,M V V SATYANARAYANA,YSRCP,56787.0
